id	group
114C	Hs_ES_C
114T	Hs_ES_T
115C	Hs_ES_C
115T	Hs_ES_T
118C	Hs_ES_C
118T	Hs_ES_T
119C	Hs_ES_C
119T	Hs_ES_T
120C	Hs_ES_C
120T	Hs_ES_T
121C	Hs_ES_C
121T	Hs_ES_T
122C	Hs_ES_C
122T	Hs_ES_T
123C	Hs_ES_C
123T	Hs_ES_T
124C	Hs_ES_C
124T	Hs_ES_T
126C	Hs_ES_C
126T	Hs_ES_T
141C	Hs_AS_C
141T	Hs_AS_T
142C	Hs_AS_C
142T	Hs_AS_T
143C	Hs_AS_C
143T	Hs_AS_T
144C	Hs_AS_C
144T	Hs_AS_T
145C	Hs_AS_C
145T	Hs_AS_T
146C	Hs_AS_C
146T	Hs_AS_T
147C	Hs_AS_C
147T	Hs_AS_T
148C	Hs_AS_C
148T	Hs_AS_T
149C	Hs_AS_C
149T	Hs_AS_T
150C	Hs_AS_C
150T	Hs_AS_T
181C	Hs_AS_C
181T	Hs_AS_T
35C	Hs_ES_C
35T	Hs_ES_T
