colnames.dataExpr.,moduleColors,atid
TRIDC3AG017120,turquoise,AT3G15353
TRIDC2BG014800,turquoise,AT2G39050
TRIDC5AG047770,turquoise,AT2G05070
TRIDC2AG035670,turquoise,AT1G06680
TRIDC4BG021940,turquoise,AT2G39730
TRIDC2AG028560,turquoise,AT4G21280
TRIDC2AG037440,turquoise,AT2G23090
TRIDC2AG042920,blue,AT1G08380
TRIDC5AG059960,turquoise,AT1G31330
TRIDC5AG068830,blue,AT2G20260
TRIDC3BG025030,turquoise,AT1G13930
TRIDC3BG038850,turquoise,AT5G14740
TRIDC3BG012770,turquoise,AT3G09390
TRIDC2BG054610,turquoise,AT3G25570
TRIDC7BG023490,turquoise,AT2G13360
TRIDC5BG065490,turquoise,AT1G78380
TRIDC5BG070520,turquoise,AT1G03130
TRIDC4BG017010,turquoise,AT4G38970
TRIDC2BG040710,turquoise,AT1G70580
TRIDC5AG002350,turquoise,AT4G39260
TRIDC2AG047330,turquoise,AT1G12900
TRIDC4AG027150,turquoise,AT3G16640
TRIDC5AG037770,turquoise,AT5G12180
TRIDC5BG042550,turquoise,AT1G55670
TRIDC6AG055520,turquoise,AT1G76080
TRIDC6AG039020,red,AT1G20440
TRIDC1BG068400,brown,AT2G34420
TRIDC3BG041880,turquoise,AT4G33010
TRIDC7BG025210,turquoise,AT1G27310
TRIDC2BG048280,turquoise,AT4G10300
TRIDC3AG021330,turquoise,AT4G20260
TRIDC2BG038440,turquoise,AT3G11780
TRIDC7BG054020,turquoise,AT1G66240
TRIDC5AG057060,turquoise,AT5G45890
TRIDC5AG022620,turquoise,AT5G19140
TRIDC1BG007360,red,AT1G75270
TRIDC3BG056640,turquoise,AT4G04770
TRIDC6AG024880,turquoise,AT3G27160
TRIDC2AG037250,turquoise,AT1G26630
TRIDC5BG033070,turquoise,AT1G78020
TRIDC7AG073560,blue,AT1G21065
TRIDC3BG061260,turquoise,AT1G44575
TRIDC1AG017300,turquoise,AT3G12290
TRIDC1AG055310,turquoise,AT5G43850
TRIDC6AG055890,turquoise,AT1G79040
TRIDC7BG015290,turquoise,AT3G48140
TRIDC4AG038880,turquoise,AT5G10860
TRIDC1AG038130,turquoise,AT5G27320
TRIDC5BG070780,blue,AT5G19855
TRIDC7AG047050,turquoise,AT1G66240
TRIDC3AG034200,turquoise,AT1G75350
TRIDC7AG048010,blue,AT5G53300
TRIDC3AG023150,turquoise,AT5G64130
TRIDC7BG025950,turquoise,AT5G17870
TRIDC7AG065720,turquoise,AT2G30950
TRIDC6BG051730,turquoise,AT1G16810
TRIDC2AG066330,turquoise,AT1G11860
TRIDC5AG031110,turquoise,AT5G57000
TRIDC5AG036480,blue,AT3G47470
TRIDC3BG040800,turquoise,AT2G34480
TRIDC3BG026230,turquoise,AT1G64500
