colnames.dataExpr.,moduleColors,atid
TRIDC5AG047770,turquoise,AT2G05070
TRIDC7AG036210,turquoise,AT2G34430
TRIDC3AG017120,blue,AT3G15353
TRIDC2BG014800,blue,AT2G39050
TRIDC2AG035670,blue,AT1G06680
TRIDC2BG038790,turquoise,AT3G50820
TRIDC1BG068400,blue,AT2G34420
TRIDC4BG013910,turquoise,AT4G10340
TRIDC2AG028560,brown,AT4G21280
TRIDC4BG021940,turquoise,AT2G39730
TRIDC5BG070520,turquoise,AT1G03130
TRIDC1BG070890,turquoise,AT5G54270
TRIDC4BG017010,blue,AT4G38970
TRIDC7AG029070,turquoise,AT3G54890
TRIDC2AG047330,turquoise,AT1G12900
TRIDC3BG038850,turquoise,AT5G14740
TRIDC3BG025030,blue,AT1G13930
TRIDC1AG057700,turquoise,AT1G52230
TRIDC4AG070460,turquoise,AT1G76100
TRIDC2BG039350,turquoise,AT1G30380
TRIDC2AG023870,turquoise,AT3G61470
TRIDC5BG042550,turquoise,AT1G55670
TRIDC5AG002350,turquoise,AT4G39260
TRIDC2BG054610,blue,AT3G25570
TRIDC3BG012770,turquoise,AT3G09390
TRIDC6BG012730,turquoise,AT2G21130
TRIDC3BG061260,blue,AT1G44575
TRIDC7BG023490,blue,AT2G13360
TRIDC7BG054020,turquoise,AT1G66240
TRIDC5AG059960,turquoise,AT1G31330
TRIDC5BG035690,blue,AT3G45310
TRIDC7BG073240,turquoise,AT4G35090
TRIDC3BG041880,blue,AT4G33010
TRIDC5AG068830,turquoise,AT2G20260
TRIDC3AG026770,turquoise,AT3G56940
TRIDC2AG042920,turquoise,AT1G08380
TRIDC6BG048030,turquoise,AT1G32060
TRIDC6AG039020,turquoise,AT1G20440
TRIDC7AG065720,blue,AT2G30950
TRIDC2AG037440,blue,AT2G23090
TRIDC2BG040710,brown,AT1G70580
TRIDC5BG065490,blue,AT1G78380
TRIDC5BG052920,turquoise,AT2G37170
TRIDC4AG038540,blue,AT2G33830
TRIDC6BG067850,turquoise,AT4G36910
TRIDC6AG055520,turquoise,AT1G76080
TRIDC1BG062180,blue,AT1G68830
TRIDC3AG024350,blue,AT4G15910
TRIDC7BG026840,blue,AT4G35000
TRIDC3BG053370,blue,AT1G54290
TRIDC7BG015290,blue,AT3G48140
TRIDC3BG059300,turquoise,AT3G55800
TRIDC2BG039580,turquoise,AT1G06690
TRIDC7AG043680,turquoise,AT3G04120
TRIDC4BG028430,blue,AT1G05190
TRIDC2BG039030,turquoise,AT3G14420
TRIDC4BG015120,turquoise,AT4G22756
TRIDC4AG027150,blue,AT3G16640
TRIDC2AG019600,turquoise,AT2G37220
TRIDC7AG052730,turquoise,AT5G20190
TRIDC6AG024880,blue,AT3G27160
TRIDC2BG032790,blue,AT1G54290
TRIDC3AG022070,turquoise,AT5G46110
TRIDC7AG073560,turquoise,AT1G21065
TRIDC7BG025210,blue,AT1G27310
TRIDC5AG077090,blue,AT5G51110
TRIDC6AG010890,blue,AT1G51400
TRIDC3BG026230,blue,AT1G64500
TRIDC5AG057060,blue,AT5G45890
TRIDC3BG040330,turquoise,AT3G27850
TRIDC4AG038880,blue,AT5G10860
TRIDC6AG038200,turquoise,AT3G17390
TRIDC1AG037640,turquoise,AT1G54780
TRIDC2BG048280,blue,AT4G10300
TRIDC7AG047050,blue,AT1G66240
TRIDC2BG038440,blue,AT3G11780
TRIDC4AG012650,turquoise,AT3G54050
TRIDC4BG052850,turquoise,AT2G36830
TRIDC3BG035000,turquoise,AT4G32940
TRIDC4BG060740,turquoise,AT5G18280
TRIDC2AG066330,brown,AT1G11860
TRIDC1AG044300,brown,AT5G07020
TRIDC2BG082450,turquoise,AT5G53300
TRIDC1BG029200,blue,AT5G18130
TRIDC1AG016470,blue,AT1G52870
TRIDC3BG027260,turquoise,AT1G65930
TRIDC3BG060830,turquoise,AT1G43670
TRIDC5AG036480,turquoise,AT3G47470
TRIDC5BG033070,turquoise,AT1G78020
TRIDC3BG057790,blue,AT1G07770
TRIDC3BG063600,turquoise,AT3G59780
TRIDC4AG016540,turquoise,AT5G30510
TRIDC3BG018680,turquoise,AT3G57520
TRIDC5BG070780,turquoise,AT5G19855
TRIDC5AG037770,blue,AT5G12180
TRIDC5AG067120,blue,AT3G56340
TRIDC6BG026340,blue,AT1G31340
TRIDC5AG013480,turquoise,AT3G62420
TRIDC6BG048590,blue,AT4G19170
TRIDC6BG066440,turquoise,AT3G48740
TRIDC2AG026670,turquoise,AT2G20890
TRIDC7AG004740,blue,AT1G31812
TRIDC4BG033910,blue,AT2G27050
TRIDC1BG014180,blue,AT1G48300
TRIDC3BG087220,blue,AT4G01470
TRIDC2AG037250,blue,AT1G26630
TRIDC5BG071900,blue,AT1G10630
TRIDC1BG007360,blue,AT1G75270
TRIDC1AG017300,turquoise,AT3G12290
TRIDC1AG012280,turquoise,AT4G02920
TRIDC1BG062150,turquoise,AT3G18000
TRIDC2AG053510,turquoise,AT3G61260
TRIDC4AG012450,turquoise,AT4G37300
TRIDC3BG040800,blue,AT2G34480
TRIDC3BG034150,blue,AT1G02130
